Accession,Control-1,Control-2,Control-3,Treat2-1,Treat2-2
F5H875,0.258859604,0.214672573,0.330801831,0.080878756,-0.1100204
Q69YN4,0.206074263,0.140951829,-0.009550035,-0.220681229,-0.184420145
Q13571,0.348202889,0.417057699,-0.073684676,-0.602089066,-0.639144516
B2R6J3,0.228163506,0.075390951,0.303597732,-0.203185862,-0.096800423
M4VSD8,0.0792484,0.209757123,0.007086067,-0.170033871,-0.315504589
P09661,0.227052689,0.12532671,0.079823531,-0.222901981,-0.061598364
Q8NEX9,1.065356466,0.161977199,0.867400717,-1.290748866,-1.391597389
E9PL33,-0.148676505,0.09446108,0.089237718,-0.397347614,-0.359574435
Q9H9Y2,0.368555729,0.191069605,0.10894937,-0.169016646,-0.156402096
B4DV85,0.476918538,0.423488883,0.389492901,-0.166130409,0.190320039
H0YBZ4,0.573309878,0.099978389,0.373593151,-0.478761237,-0.338797771
A0PJ52,0.367345564,0.15201293,0.084386949,-0.27543507,-0.204357874
B3GQE6,0.228142678,0.143645448,0.101320672,-0.346227655,-0.064601198
H0YB18,0.531580117,0.268193291,0.387658036,0.054931047,-0.203692057
P50579,0.486870815,0.813289474,0.367107337,-0.099571615,-0.424028161
K7EQG1,0.262096022,0.12208298,0.249274378,-0.223205214,-0.001274241
P23229,0.371565689,0.368892968,0.108001712,-0.095214997,-0.181081917
Q9UK73,0.370914271,0.220148079,0.203108785,-0.065460046,0.038893387
B3KWQ9,0.324108147,0.141777075,0.116791574,-0.29195494,-0.091385903
Q9BXW9,0.100033307,0.255209578,-0.106531521,-0.667834451,-0.378569154
O43670,0.393133839,0.092891542,0.222685389,-0.342463387,-0.141974032
Q96GM8,0.067348412,0.045600091,-0.087763456,-0.399753458,-0.203941546
J3QQY0,0.692975652,0.464237743,0.25680236,-0.82334877,-0.140450354
B2R9I9,0.188707668,0.128332889,0.062065422,-0.236968384,-0.048990107
Q6P6C2,0.21747189,0.258729502,0.016963584,-0.139448066,-0.270599292
A0A087WWH3,0.606143565,0.181873023,0.479144569,-0.448086206,-0.12268169
Q9C0J8,0.312473092,0.327829187,0.049568304,-0.281622404,-0.139456298
Q9Y2Z9,0.321520433,0.124414863,0.157288553,-0.206576457,-0.051531282
Q7Z7A3,0.452103095,0.335742677,0.209020194,-0.147091101,0.044237607
