name	QC-1	QC-2	QC-3	QC-4	QC-5
M285T490	9291.920114	5500.454737	10037.09609	10667.80856	5675.43
M951T347	2110.233287	4342.362286	2379.636974	2676.284027	3095.491154
M486T526	884.8759033	944.4092308	1146.005	1779.981474	1426.173281
M593T656	232.6062012	385.4235951	211.4346313	403.7318182	259.8463135
M268T1374	6361.015652	5300.991828	4922.141113	3213.370588	3192.893333
M338T485	1002.862867	1368.143286	1656.7722	2301.628727	1867.096389
M267T101	2499.870099	2598.496857	2825.055763	2721.52022	1106.707
M285T349	54503.27235	118187.7329	140949.5285	130075.7875	125992.8693
M542T668	13286.68183	7954.549821	12254.35167	6862.080407	14123.49207
M162T664	1197.220781	1001.75625	613.056	1040.98	604.996
M326T364	392.6457464	431.8410357	389.8869978	410.382734	719.2234622
M219T603	4621.69125	6891.61571	10133.45361	10576.66629	8443.087052
M686T666	12573.67813	13108.40856	7059.206059	13174.11222	7207.2
M676T326	2914.2883	2715.910611	5150.795907	5118.015	3599.0005
M584T69	1481.286209	1058.288	2385.754367	1997.743588	1548.0725
M318T657	827.9383832	591.6328987	434.0773854	477.3959999	433.7443704
M228T253	1923.021813	2502.347222	2650.2525	4006.800767	2217.934364
M117T449	1467.695297	829.9016667	929.1473548	1680.57485	1590.036143
M781T659_2	794.1384615	1362.223158	952.6028889	597.535	954.8477091
M424T660	2195.568182	4536.337371	3702.435	5214.856526	5162.5783
M351T78	10087.87414	7822.75564	15821.60515	9421.646316	8838.753316
M530T359	835.465683	427.9678	1116.601495	928.0896166	859.1474401
M267T433_2	1473.69975	937.833	1850.902344	1121.687794	982.597
M790T350	7692.0402	8334.744405	15190.95215	8614.585895	10626.20937
M809T665	22444.36333	16269.675	21831.53368	30500.47059	35627.75336
M940T312	632.1871745	1311.229231	710.2308571	997.3281047	816.8171204
M385T150	3213.932344	2752.652345	3386.431385	1380.211059	2413.017182
M281T88_3	3773.365519	2573.928125	1747.503529	2779.820905	3910.72815
M101T72	4023.381667	3286.259043	3299.52887	4691.75261	1889.981167
